x_m,y_m,z_m,yaw_rad
0.391,13.672,1.059,0.000000
0.891,13.672,1.294,0.000000
1.391,13.672,1.765,0.000000
1.891,13.672,2.471,-0.444430
2.308,13.473,3.412,-0.546798
2.708,13.230,4.118,-0.407417
3.132,13.047,5.176,-0.344639
3.567,12.891,6.000,-0.122213
4.043,12.832,6.471,-0.209739
4.502,12.734,6.824,-0.118799
4.979,12.678,7.059,-0.785398
5.332,12.324,7.412,-0.785398
5.686,11.970,8.000,-0.044988
6.177,11.948,8.235,-0.690309
6.549,11.641,8.118,-0.396640
6.975,11.462,8.118,-0.546798
7.375,11.219,8.235,-0.455172
7.790,11.016,8.000,-0.381922
8.219,10.843,7.765,-0.546798
8.618,10.600,7.647,-0.469819
9.031,10.391,7.412,0.367209
9.463,10.557,7.765,0.679947
9.837,10.859,7.882,0.407940
10.261,11.043,7.882,0.642078
10.643,11.328,7.765,0.697735
11.014,11.639,7.647,0.785398
11.368,11.993,7.647,0.785398
11.721,12.346,7.765,1.050014
11.953,12.750,7.765,1.226157
12.109,13.186,7.647,1.226157
12.266,13.621,7.647,1.570796
12.266,14.121,7.765,1.570796
12.266,14.621,7.765,1.508750
12.296,15.108,7.765,1.296596
12.422,15.556,7.647,1.265921
12.561,15.999,7.647,1.023999
12.804,16.398,7.647,0.546032
13.204,16.641,7.765,0.344639
13.639,16.797,7.765,0.000000
14.139,16.797,7.647,0.543970
14.539,17.039,7.529,0.149011
15.009,17.109,7.294,0.684528
15.383,17.414,7.176,0.785398
15.737,17.768,7.412,0.785398
16.090,18.121,7.765,0.785398
16.444,18.475,8.235,0.784505
16.798,18.828,8.706,0.000000
17.298,18.828,9.059,0.092445
17.779,18.873,9.294,0.602965
18.168,19.141,9.412,0.489634
18.578,19.359,9.647,0.785398
18.931,19.712,10.118,0.785398
19.285,20.066,10.588,0.546798
19.684,20.309,10.824,0.785398
20.038,20.663,11.059,0.785398
20.391,21.016,11.176,1.023999
20.634,21.416,11.176,0.785398
20.988,21.769,10.824,0.785398
21.341,22.123,10.000,1.023999
21.584,22.522,9.647,0.785398
21.938,22.875,9.412,1.190705
22.109,23.304,9.412,0.865433
22.424,23.674,9.412,0.785398
22.778,24.028,9.529,0.785398
23.131,24.381,9.412,0.785398
23.485,24.735,9.294,1.153913
23.672,25.157,9.176,1.405396
23.750,25.625,9.059,0.785398
24.103,25.978,8.706,0.785398
24.457,26.332,8.118,0.785398
24.811,26.686,7.647,0.785398
25.164,27.039,7.294,0.785398
25.518,27.393,6.588,0.809401
25.859,27.751,5.882,1.253657
26.004,28.191,5.647,1.198585
26.172,28.622,5.176,1.226157
26.328,29.057,4.706,1.226157
26.484,29.492,4.235,1.226157
26.641,29.928,3.765,1.271923
26.777,30.371,3.529,1.023999
27.020,30.770,3.059,0.785398
27.374,31.124,2.824,0.785398
27.727,31.477,2.588,0.785398
28.081,31.831,2.118,0.785398
28.435,32.185,1.529,0.546798
28.834,32.428,1.176,0.688395
29.207,32.734,0.941,0.651667
29.587,33.024,0.706,0.397705
30.013,33.203,0.471,0.183684
30.477,33.289,0.471,0.508102
30.883,33.516,0.353,0.328645
31.321,33.665,0.353,0.013772
31.818,33.672,0.353,0.000000
32.318,33.672,0.353,-0.376656
32.748,33.502,0.588,-0.785398
33.102,33.148,1.059,-0.785398
33.455,32.795,1.412,-0.785398
